"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2025-01-02T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",3.26,"provisorisch"
"2025-01-02T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",82.79,"provisorisch"
"2025-01-02T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-02T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",4192.92,"provisorisch"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",11.28,"provisorisch"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",4.33,"provisorisch"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",14.94,"provisorisch"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",63.99,"provisorisch"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",5.93,"provisorisch"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",2.74,"provisorisch"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",79.06,"provisorisch"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-02T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",3.22,"provisorisch"
"2025-01-02T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.79,"provisorisch"
"2025-01-02T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",4.94,"provisorisch"
"2025-01-02T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",73.53,"provisorisch"
"2025-01-02T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",82.94,"provisorisch"
"2025-01-02T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-03T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.04,"provisorisch"
"2025-01-03T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.23,"provisorisch"
"2025-01-03T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",10.59,"provisorisch"
"2025-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",2.18,"provisorisch"
"2025-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",16.92,"provisorisch"
"2025-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",53.34,"provisorisch"
"2025-01-03T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",5.84,"provisorisch"
"2025-01-03T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",4.38,"provisorisch"
"2025-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",62.36,"provisorisch"
"2025-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-03T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",6837.06,"provisorisch"
"2025-01-03T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",24.78,"provisorisch"
"2025-01-03T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",12.8,"provisorisch"
"2025-01-03T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",27.77,"provisorisch"
"2025-01-03T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",47.37,"provisorisch"
"2025-01-03T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",7.36,"provisorisch"
"2025-01-03T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",4.85,"provisorisch"
"2025-01-03T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",58.66,"provisorisch"
"2025-01-03T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-03T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",10162.88,"provisorisch"
"2025-01-03T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",25.55,"provisorisch"
"2025-01-03T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",10.98,"provisorisch"
"2025-01-03T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",32.02,"provisorisch"
"2025-01-03T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",39.52,"provisorisch"
"2025-01-03T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",7.37,"provisorisch"
"2025-01-03T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",4.57,"provisorisch"
"2025-01-03T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",49.92,"provisorisch"
"2025-01-03T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-03T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",5.59,"provisorisch"
"2025-01-03T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.05,"provisorisch"
"2025-01-03T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",9.07,"provisorisch"
"2025-01-03T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",60.39,"provisorisch"
"2025-01-03T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",65.92,"provisorisch"
"2025-01-03T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-04T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.1,"provisorisch"
"2025-01-04T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.3,"provisorisch"
"2025-01-04T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",20.56,"provisorisch"
"2025-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",5.85,"provisorisch"
"2025-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",30.34,"provisorisch"
"2025-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",28.9,"provisorisch"
"2025-01-04T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",13.21,"provisorisch"
"2025-01-04T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",11.31,"provisorisch"
"2025-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",48.04,"provisorisch"
"2025-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-04T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",15840.62,"provisorisch"
"2025-01-04T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",28.35,"provisorisch"
"2025-01-04T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",12.89,"provisorisch"
"2025-01-04T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",34.45,"provisorisch"
"2025-01-04T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",29.29,"provisorisch"
"2025-01-04T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",13.77,"provisorisch"
"2025-01-04T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",12.11,"provisorisch"
"2025-01-04T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",50.47,"provisorisch"
"2025-01-04T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-04T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",11092.16,"provisorisch"
"2025-01-04T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",32.02,"provisorisch"
"2025-01-04T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",15.39,"provisorisch"
"2025-01-04T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",37.64,"provisorisch"
"2025-01-04T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",23.43,"provisorisch"
"2025-01-04T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",15.1,"provisorisch"
"2025-01-04T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",13.26,"provisorisch"
"2025-01-04T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",36.22,"provisorisch"
"2025-01-04T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-04T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",9.14,"provisorisch"
"2025-01-04T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",2.1,"provisorisch"
"2025-01-04T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",14.24,"provisorisch"
"2025-01-04T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",49.56,"provisorisch"
"2025-01-04T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",67.62,"provisorisch"
"2025-01-04T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-05T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.08,"provisorisch"
"2025-01-05T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.25,"provisorisch"
"2025-01-05T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",11.82,"provisorisch"
"2025-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",2.17,"provisorisch"
"2025-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",19.27,"provisorisch"
"2025-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",48.52,"provisorisch"
"2025-01-05T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",6.56,"provisorisch"
"2025-01-05T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",5.34,"provisorisch"
"2025-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",63.76,"provisorisch"
"2025-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-05T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",39942.16,"provisorisch"
"2025-01-05T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",12.73,"provisorisch"
"2025-01-05T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",3.1,"provisorisch"
"2025-01-05T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",19.6,"provisorisch"
"2025-01-05T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",51.9,"provisorisch"
"2025-01-05T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",6.93,"provisorisch"
"2025-01-05T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",5.66,"provisorisch"
"2025-01-05T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",65.95,"provisorisch"
"2025-01-05T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-05T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",7656,"provisorisch"
"2025-01-05T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",41.47,"provisorisch"
"2025-01-05T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",24.19,"provisorisch"
"2025-01-05T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",42.21,"provisorisch"
"2025-01-05T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",31.52,"provisorisch"
"2025-01-05T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",8.61,"provisorisch"
"2025-01-05T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",6.56,"provisorisch"
"2025-01-05T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",51.34,"provisorisch"
"2025-01-05T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-05T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",4.63,"provisorisch"
"2025-01-05T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.92,"provisorisch"
"2025-01-05T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",7.45,"provisorisch"
"2025-01-05T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",65.16,"provisorisch"
"2025-01-05T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",70.61,"provisorisch"
"2025-01-05T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-06T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.19,"provisorisch"
"2025-01-06T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.27,"provisorisch"
"2025-01-06T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",20.29,"provisorisch"
"2025-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",8.08,"provisorisch"
"2025-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",26.41,"provisorisch"
"2025-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",42.84,"provisorisch"
"2025-01-06T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",7.5,"provisorisch"
"2025-01-06T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",4.09,"provisorisch"
"2025-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",79.7,"provisorisch"
"2025-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-06T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",14713.01,"provisorisch"
